d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.02586] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.02839] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.02844] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.07231] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.09141] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.09146] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.09152] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.09159] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.09166] Returning d3d_display: 00A6C8C0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.09170] al_display=00A6C8C0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.09174] al_display->vt=00289BA8
system   D            wsystem.c:802  maybe_parent_dir                 [   0.09203] Also searching C:\Users\jason\Documents\C Projects\Blasteroids\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.09233] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:763  load_library_at_path             [   0.09239] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:766  load_library_at_path             [   0.09448] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.09459] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.09485] added dtor for bitmap 00AC1818, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.09570] added dtor for bitmap 0034E818, func 0FE223E7
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10001] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10017] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10023] Fake format
